N,Nombre del Negocio,Categoria,Direccion,Instagram,WhatsApp_Telefono,Link_contacto,Calificacion,Motivo_calificacion,Mensaje_Instagram,Mensaje_WhatsApp,Estado_lead,Fecha_contacto,Notas
27,Ferretería Nordelta,Ferretería,"Nordelta, Tigre",@ferreterianordeltaok,+5491124261660,https://wa.me/5491124261660,Baja,Ferretería local con sección jardín posible. 1.2K seguidores,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Ferretería Nordelta la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Ferretería Nordelta la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
28,Aires de Cultivo Grow Shop,Growshop,"Ituzaingó 2710, Benavídez, Tigre",Buscar IG,+5491166894723,https://facebook.com/airesdecultivo.grow,Alta,"Growshop en Benavídez. Vende sustratos, fertilizantes, accesorios de cultivo","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Aires de Cultivo Grow Shop con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Aires de Cultivo Grow Shop con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Interesado,2026-04-20,2026-04-20: Respondió interesado. Mariano pasa por el local el 2026-04-21. | 2026-04-22: VISITA REALIZADA. Le interesó mucho la propuesta. Posible pedido de mini huertas + huertas de 12. Esperando confirmación de cantidades. | 2026-04-23: Pedido TENTATIVO: 2 mini huertas + 2 huertas de 12 plantas. Esperando confirmación final.
29,Vivero Benavídez Espacio Verde,Vivero,"Av. Juan Domingo Perón 6860, Benavídez",@viverobenavidez,-,https://instagram.com/viverobenavidez,Alta,Vivero con paisajismo y diseño de jardines en Benavídez,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Benavídez Espacio Verde con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Benavídez Espacio Verde con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-13,
30,La Raíz Vivero,Vivero,Tigre (zona Nordelta),Buscar IG,-,https://facebook.com/LaRaizvivero,Alta,"Vivero con plantas, macetas, cercos vivos, fertilizantes. Amplio surtido","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en La Raíz Vivero con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en La Raíz Vivero con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
31,del Bazar - Bazar Online & Deco,Bazar/Deco,"Nordelta, Tigre",Buscar IG,-,https://www.delbazar.com/,Media,Bazar y deco online basado en Nordelta. Podría sumar kits,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en del Bazar - Bazar Online & Deco y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en del Bazar - Bazar Online & Deco y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
32,La Casa de las Flores,Florería/Deco,Zona Norte / Nordelta,@lacasadelasflores.ar,-,https://instagram.com/lacasadelasflores.ar,Media,Florería + regalería + deco. 7.2K seguidores. Flores frescas y secas,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en La Casa de las Flores y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en La Casa de las Flores y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
33,Jardín del Norte Paisajismo,Paisajismo,Zona Norte Buenos Aires,@jardindelnorte.paisajismo,-,https://instagram.com/jardindelnorte.paisajismo,Alta,Servicio de paisajismo en zona norte. Podría recomendar kits a sus clientes,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me gustó mucho la propuesta de Jardín del Norte Paisajismo con los espacios verdes y el paisajismo, sentimos que hay mucha sintonía con lo que proponemos, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me gustó mucho la propuesta de Jardín del Norte Paisajismo con los espacios verdes y el paisajismo, sentimos que hay mucha sintonía con lo que proponemos, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-13,Dejó en visto 14/04
34,Lucia Holmberg Paisajismo,Paisajismo,Zona Norte Buenos Aires,@luciaholmberg_paisajismo,-,https://instagram.com/luciaholmberg_paisajismo,Alta,Diseñadora de parques y jardines. 10K seguidores. Desde 2000,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me gustó mucho la propuesta de Lucia Holmberg Paisajismo con los espacios verdes y el paisajismo, sentimos que hay mucha sintonía con lo que proponemos, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me gustó mucho la propuesta de Lucia Holmberg Paisajismo con los espacios verdes y el paisajismo, sentimos que hay mucha sintonía con lo que proponemos, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Interesado,2026-04-13,"Paisajista interesada. Dijo para coordinar reunión semana que viene (semana del 21/04). | 2026-04-23: Mariano le mandó mensaje, sin respuesta aún. Esperando reactivación."
35,+Mas Orgánicos,Dietética/Orgánica,Tigre (zona Nordelta),Buscar IG,-,https://green-life.com.ar/tienda-naturista/mas-organicos/,Media,Tienda de productos orgánicos en Tigre. Público afín a huertas,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de +Mas Orgánicos y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de +Mas Orgánicos y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
36,Tigre Growshop,Growshop,"Av. Alvear 2180, Benavídez, Tigre",@tigregrowshop,-,https://instagram.com/tigregrowshop,Alta,"Growshop completo en Benavídez. Vende insumos de cultivo, ideal para kits de huerta","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Tigre Growshop con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Tigre Growshop con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",No interesado,2026-04-14,Sin respuesta aún | 2026-04-21: Tigre Growshop no les interesó la propuesta
37,Sol Palou Deco,Decoración,"Av. Santa María de las Conchas 6385, CC Santa María, Tigre",@solpaloudeco,+5491128520734,https://instagram.com/solpaloudeco,Media,Tienda deco con 330K seguidores en IG. Showroom en Tigre y Pilar. Alto tráfico,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Sol Palou Deco y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Sol Palou Deco y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
38,Desire Home,Deco/Bazar,"Sarmiento 139, Puerto de Frutos, Tigre",@desire.tigre,-,https://instagram.com/desire.tigre,Media,"Deco, muebles, bazar y textil. Empresa familiar 15+ años en Puerto de Frutos","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Desire Home y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Desire Home y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
39,Relax y Decoración,Decoración,"Galería Lo Mejor del Puerto, Locales 22-24, Puerto de Frutos, Tigre",@relax_y_decoracion,+5491140382010,https://wa.me/5491140382010,Media,Deco en Puerto de Frutos. Tiene WhatsApp directo. Buen local,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Relax y Decoración y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Relax y Decoración y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
40,Florería Dylan,Florería,"Av. Santa María de las Conchas 2596, Rincón de Milberg, Tigre",-,+5491156399338,https://wa.me/5491156399338,Media,Florería con 13+ años. Abierta L-S 8-21. Sin IG pero con WA directo,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Florería Dylan y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Florería Dylan y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Respondió,2026-04-20,"2026-04-20: Le pasé info, dijeron que la miran y contestan. FOLLOW-UP en 3 días si no responden."
41,Corralón Casa Camilo,Corralón,"Carriego 1746, Rincón de Milberg, Tigre",@corraloncasacamilo,+5491125223247,https://instagram.com/corraloncasacamilo,Media,Corralón de materiales en Rincón de Milberg. Tiene IG y vende al público,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Corralón Casa Camilo y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Corralón Casa Camilo y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Respondió,2026-04-20,2026-04-20: Va a compartirlo con el jefe. FOLLOW-UP en 3 días.
42,Tigremat SRL,Corralón,"Av. Juan B. Justo 827, Tigre",-,+5491147492511,https://wa.me/5491165820464,Baja,Corralón de materiales de construcción. Más enfocado en obra que en jardín,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Tigremat SRL y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Tigremat SRL y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
43,Ferretería Rober,Ferretería,"Av. Benavídez 66, Benavídez, Tigre",-,+5491171429008,-,Baja,Ferretería general en Benavídez. Podría tener sección jardín,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Ferretería Rober la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Ferretería Rober la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
44,Ferretería El Ombú,Ferretería,"Gorriti 615, Benavídez, Tigre",-,+541153848200,-,Baja,Ferretería con servicio personalizado. Confirmar si tiene sección jardín,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Ferretería El Ombú la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Ferretería El Ombú la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
45,Ferretería San Nicolás,Ferretería,"Av. Gral. J.D. Perón, Benavídez, Tigre",-,+5493487310766,-,Baja,Ferretería en avenida principal de Benavídez. Confirmar sección jardín,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Ferretería San Nicolás la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Ferretería San Nicolás la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
46,Ferretería y Corralón Andersen,Ferretería/Corralón,"Ruta 197 y Liniers, Troncos del Talar, Tigre",-,+5491127669364,-,Media,Ferretería y corralón grande. Atiende público y profesionales,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Ferretería y Corralón Andersen la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi que en Ferretería y Corralón Andersen la gente del barrio se acerca para armar sus proyectos, y creemos que las huertas hidropónicas pueden ser un producto lindo para sumar al local, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
47,Vivero Sawatani,Vivero,Belén de Escobar,@viverosawatani,-,https://instagram.com/viverosawatani,Alta,Vivero con producción propia y venta. 5.8K seguidores en IG,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Sawatani con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Sawatani con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-14,Sin respuesta aún
48,Vivero Dalloro,Vivero,"Escobar, Buenos Aires",-,-,https://viverodalloro.com.ar/,Alta,Vivero especializado en frutales y ornamentales en Escobar,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Dalloro con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Dalloro con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-14,Sin respuesta aún
49,Greenhill Vivero,Vivero,Belén de Escobar,@greenhillvivero,+5491134574320,https://instagram.com/greenhillvivero,Alta,Vivero en Escobar con IG activo y teléfono directo,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Greenhill Vivero con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Greenhill Vivero con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-14,Sin respuesta aún
50,Germinarong,Vivero,Belén de Escobar,@germinarong,+5491133582200,https://instagram.com/germinarong,Alta,Vivero en Escobar. Tiene IG y teléfono para contacto directo,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Germinarong con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Germinarong con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-14,Sin respuesta aún
51,Naturalis SH,Vivero mayorista,Belén de Escobar,-,-,https://www.naturalissh.com/,Alta,Vivero mayorista de plantas interior y exterior. Ideal para relación B2B,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Naturalis SH con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Naturalis SH con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-14,Sin respuesta aún
52,Mercado de Plantas Loma Verde,Vivero/Mercado,"Loma Verde, Escobar",@mercadodeplantaslomaverde,-,https://instagram.com/mercadodeplantaslomaverde,Alta,Mercado de plantas con varios puestos. Posibilidad de vender kits ahí,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Mercado de Plantas Loma Verde con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Mercado de Plantas Loma Verde con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-14,Sin respuesta aún
